,counterpart_area,economy,time,ExternalDebtStock
257,004,VNM,YR2014,4011061227.5
258,004,VNM,YR2015,3763814607.3
259,004,VNM,YR2016,3428957915.8
260,004,VNM,YR2017,3193234709.3
261,004,VNM,YR2018,2709853826.9
262,004,VNM,YR2019,2330328038.3
263,004,VNM,YR2020,2106149068.2
264,005,ARG,YR2010,1513442676.0
265,005,ARG,YR2011,1465159654.2
266,005,ARG,YR2012,1492173493.2
267,005,ARG,YR2013,1557014884.1
268,005,ARG,YR2014,2992432271.2
269,005,ARG,YR2015,2537660446.0
270,005,ARG,YR2016,2001182460.7
271,005,ARG,YR2017,1918014228.2
272,005,ARG,YR2018,1274942434.1
273,005,ARG,YR2019,689529118.2
274,005,ARG,YR2020,818094321.6
275,005,DZA,YR2010,84990337.2
276,005,DZA,YR2011,56808679.5
277,005,DZA,YR2012,33679004.4
278,005,DZA,YR2013,23863946.4
279,005,DZA,YR2014,9633883.5
280,005,DZA,YR2015,6365628.9
281,005,DZA,YR2016,4979568.4
282,005,DZA,YR2017,4738434.3
283,005,DZA,YR2018,3638810.0
284,005,DZA,YR2019,2701777.0
285,005,DZA,YR2020,2002627.2
286,005,ETH,YR2010,
287,005,ETH,YR2011,
288,005,ETH,YR2012,
289,005,ETH,YR2013,
290,005,ETH,YR2014,
291,005,ETH,YR2015,0.0
292,005,ETH,YR2016,34492260.2
293,005,ETH,YR2017,37280240.5
294,005,ETH,YR2018,31845885.0
295,005,ETH,YR2019,27569359.4
296,005,ETH,YR2020,26097962.8
297,005,TZA,YR2010,9154722.0
298,005,TZA,YR2011,8864911.6
299,005,TZA,YR2012,9039620.0
300,005,TZA,YR2013,9448643.3
301,005,TZA,YR2014,8318176.9
302,005,TZA,YR2015,7459022.5
303,005,TZA,YR2016,7221967.1
304,005,TZA,YR2017,8216777.5
305,005,TZA,YR2018,7844751.3
306,005,TZA,YR2019,7696763.0
307,005,TZA,YR2020,8407244.0
308,005,UZB,YR2010,271873062.7
309,005,UZB,YR2011,230220983.6
310,005,UZB,YR2012,215000188.2
311,005,UZB,YR2013,209261875.8
312,005,UZB,YR2014,284359217.4
313,005,UZB,YR2015,285454962.6
314,005,UZB,YR2016,293866214.4
315,005,UZB,YR2017,333328644.8
316,005,UZB,YR2018,269036070.0
317,005,UZB,YR2019,215648987.4
318,005,UZB,YR2020,184399998.3
319,005,VNM,YR2010,395175393.0
320,005,VNM,YR2011,448945228.8
321,005,VNM,YR2012,459634175.0
322,005,VNM,YR2013,508053538.6
323,005,VNM,YR2014,1486186562.9
324,005,VNM,YR2015,1473849545.3
325,005,VNM,YR2016,1551122895.8
326,005,VNM,YR2017,1625351209.1
327,005,VNM,YR2018,1599196799.4
328,005,VNM,YR2019,1576229875.4
329,005,VNM,YR2020,1578986253.2
330,006,ARG,YR2010,528753529.2
331,006,ARG,YR2011,513989304.3
332,006,ARG,YR2012,517184215.8
333,006,ARG,YR2013,526847444.6
334,006,ARG,YR2014,619183062.5
335,006,ARG,YR2015,557147844.7
336,006,ARG,YR2016,457972597.6
337,006,ARG,YR2017,421406634.8
338,006,ARG,YR2018,305979585.0
339,006,ARG,YR2019,195374180.4
340,006,ARG,YR2020,215898094.3
341,006,DZA,YR2010,60957444.0
342,006,DZA,YR2011,62253410.7
343,006,DZA,YR2012,61780905.0
344,006,DZA,YR2013,64576357.5
345,006,DZA,YR2014,56850232.5
346,006,DZA,YR2015,50978377.5
347,006,DZA,YR2016,48409542.5
348,006,DZA,YR2017,52917913.2
349,006,DZA,YR2018,48277780.0
350,006,DZA,YR2019,45166297.0
351,006,DZA,YR2020,46930439.5
352,006,ETH,YR2010,294671578.6
353,006,ETH,YR2011,266631063.7
354,006,ETH,YR2012,252526597.3
355,006,ETH,YR2013,243705271.2
356,006,ETH,YR2014,196834296.8
357,006,ETH,YR2015,160618199.5
358,006,ETH,YR2016,140079106.2
359,006,ETH,YR2017,559031636.3
360,006,ETH,YR2018,536809947.1
361,006,ETH,YR2019,519208327.6
362,006,ETH,YR2020,559100846.7
363,006,TZA,YR2010,1786998.0
364,006,TZA,YR2011,1787000.0
365,006,TZA,YR2012,1786998.0
366,006,TZA,YR2013,1786998.0
367,006,TZA,YR2014,1787000.0
368,006,TZA,YR2015,1787000.0
369,006,TZA,YR2016,1787000.0
370,006,TZA,YR2017,1787000.0
371,006,TZA,YR2018,1787000.0
372,006,TZA,YR2019,1787000.0
373,006,TZA,YR2020,1787000.0
374,006,UZB,YR2010,
375,006,UZB,YR2011,
376,006,UZB,YR2012,
377,006,UZB,YR2013,
378,006,UZB,YR2014,
379,006,UZB,YR2015,
380,006,UZB,YR2016,
381,006,UZB,YR2017,
382,006,UZB,YR2018,
383,006,UZB,YR2019,
384,006,UZB,YR2020,
385,006,VNM,YR2010,65790313.6
386,006,VNM,YR2011,60956817.7
387,006,VNM,YR2012,54230654.0
388,006,VNM,YR2013,48670336.1
389,006,VNM,YR2014,39371942.7
390,006,VNM,YR2015,29615328.9
391,006,VNM,YR2016,21056422.7
392,006,VNM,YR2017,20204607.1
393,006,VNM,YR2018,19289815.0
394,006,VNM,YR2019,21267085.4
395,006,VNM,YR2020,24935899.1
396,007,ARG,YR2010,379867000.0
397,007,ARG,YR2011,373014000.0
398,007,ARG,YR2012,376759000.0
399,007,ARG,YR2013,386183000.0
400,007,ARG,YR2014,658174943.7
401,007,ARG,YR2015,577770071.8
402,007,ARG,YR2016,459663913.4
403,007,ARG,YR2017,421659814.7
404,007,ARG,YR2018,282697190.0
405,007,ARG,YR2019,151323357.4
406,007,ARG,YR2020,175219231.4
407,007,DZA,YR2010,0.0
408,007,DZA,YR2011,
409,007,DZA,YR2012,
410,007,DZA,YR2013,
411,007,DZA,YR2014,
412,007,DZA,YR2015,
413,007,DZA,YR2016,
414,007,DZA,YR2017,
415,007,DZA,YR2018,
416,007,DZA,YR2019,
417,007,DZA,YR2020,
418,007,ETH,YR2010,
419,007,ETH,YR2011,
420,007,ETH,YR2012,
421,007,ETH,YR2013,
422,007,ETH,YR2014,
423,007,ETH,YR2015,
424,007,ETH,YR2016,
425,007,ETH,YR2017,
426,007,ETH,YR2018,
427,007,ETH,YR2019,
428,007,ETH,YR2020,
429,007,TZA,YR2010,64943601.0
430,007,TZA,YR2011,57275480.9
431,007,TZA,YR2012,54196527.8
432,007,TZA,YR2013,43989276.6
433,007,TZA,YR2014,30537979.0
434,007,TZA,YR2015,29031024.7
435,007,TZA,YR2016,30757342.3
436,007,TZA,YR2017,34703869.3
437,007,TZA,YR2018,28317877.5
438,007,TZA,YR2019,23536096.0
439,007,TZA,YR2020,20946315.7
440,007,UZB,YR2010,
441,007,UZB,YR2011,
442,007,UZB,YR2012,
443,007,UZB,YR2013,
444,007,UZB,YR2014,
445,007,UZB,YR2015,
446,007,UZB,YR2016,
447,007,UZB,YR2017,
448,007,UZB,YR2018,
449,007,UZB,YR2019,
450,007,UZB,YR2020,
451,007,VNM,YR2010,77847308.2
452,007,VNM,YR2011,64768026.3
453,007,VNM,YR2012,52235536.2
454,007,VNM,YR2013,39806873.0
